time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-19T05:26:04.160Z,37.4705,-118.8158333,5.54,2.74,md,36,106,0.1109,0.05,nc,nc73123010,2018-12-20T18:18:02.897Z,"16km SW of Toms Place, CA",earthquake,0.22,1.09,0.206,44,reviewed,nc,nc
2018-12-17T18:02:39.570Z,36.094,-117.882,4.09,2.62,ml,36,57,0.0322,0.15,ci,ci38165335,2018-12-18T02:05:27.468Z,"8km NE of Coso Junction, CA",earthquake,0.16,0.3,0.164,25,reviewed,ci,ci
2018-12-17T11:26:24.260Z,38.0583333,-118.8751667,6.45,2.52,md,35,100,0.07882,0.07,nc,nc73122375,2018-12-31T22:36:24.317Z,"21km SE of Bodie, CA",earthquake,0.19,1.13,0.248,41,reviewed,nc,nc
2018-12-17T02:52:01.740Z,35.9568333,-116.7345,-0.34,3.62,ml,32,62,0.2346,0.19,ci,ci38164815,2019-02-23T20:20:50.040Z,"42km W of Shoshone, CA",earthquake,0.2,0.6,0.125,312,reviewed,ci,ci
2018-12-16T21:48:09.204Z,41.1658,-116.8464,0,3.1,ml,9,267.36,0.378,0.2105,nn,nn00670366,2018-12-17T00:34:32.570Z,"58km N of Battle Mountain, Nevada",explosion,,0,0.69,7,reviewed,nn,nn
2018-12-16T10:41:27.320Z,36.7463333,-121.4555,7.35,2.76,md,57,51,0.01523,0.15,nc,nc73122090,2018-12-19T00:36:04.140Z,"11km SW of Ridgemark, CA",earthquake,0.2,0.33,0.192,95,reviewed,nc,nc
2018-12-16T06:05:15.898Z,40.5301,-115.103,2.8,2.5,ml,6,108.6,0.238,0.1723,nn,nn00670374,2019-02-16T22:29:10.040Z,"42km NW of Currie, Nevada",earthquake,,9.7,0.26,4,reviewed,nn,nn
2018-12-15T14:56:42.700Z,38.81,-122.8211667,2.77,2.92,md,63,22,0.00636,0.06,nc,nc73121710,2018-12-21T10:40:23.954Z,"7km WNW of The Geysers, CA",earthquake,0.11,0.17,0.266,45,reviewed,nc,nc
2018-12-15T09:07:12.620Z,34.0221667,-119.005,14.63,2.62,ml,62,58,0.1977,0.29,ci,ci38163951,2018-12-17T17:06:07.392Z,"18km W of Malibu, CA",earthquake,0.32,0.66,0.179,138,reviewed,ci,ci
2018-12-14T14:43:30.750Z,40.2961667,-124.2595,9.98,2.5,md,10,144,0.03598,0.05,nc,nc73121410,2018-12-18T12:25:02.541Z,"4km SE of Petrolia, CA",earthquake,0.51,0.43,0.178,8,reviewed,nc,nc
